year,month,country,avg_temp,monthly_rainfall_mm
1990,4,United Kingdom,6.84874794581009,61.73293998590033
1990,5,United Kingdom,11.43154860707973,37.25553805701752
1990,6,United Kingdom,12.338457074187842,95.97672652253398
1990,7,United Kingdom,15.023306248941552,54.06513208875607
1990,8,United Kingdom,15.826083629141374,68.89037825979995
1990,9,United Kingdom,11.731352094324432,69.54045775858519
1990,10,United Kingdom,10.47493719858626,117.93578359616696
1990,11,United Kingdom,5.831966898691579,58.60989486908052
1990,12,United Kingdom,3.5256941328489293,104.85034454800996
1991,1,United Kingdom,2.4540697764517305,83.55898599526886
1991,2,United Kingdom,1.3616273842481357,64.1622724541449
1991,3,United Kingdom,6.458640038151764,80.8877865822715
1991,4,United Kingdom,6.600933452087082,88.17921914217006
1991,5,United Kingdom,9.707546690138884,25.767016391551707
1991,6,United Kingdom,10.850279341895783,109.87845168681795
1991,7,United Kingdom,15.621187598781738,76.07659088781757
1991,8,United Kingdom,15.313453770533194,45.01588187725241
1991,9,United Kingdom,13.140059399054858,73.17015934704993
1991,10,United Kingdom,9.170560527300172,93.7132125657581
1991,11,United Kingdom,5.849967247717539,111.94114331871371
1991,12,United Kingdom,4.306810426424885,61.70751739343034
1992,1,United Kingdom,3.54232864105528,70.41088249860205
1992,2,United Kingdom,4.818629839984467,72.99058842008982
1992,3,United Kingdom,5.921115016600842,110.28806593819913
1992,4,United Kingdom,6.985293089777021,93.12348765899588
1992,5,United Kingdom,11.711714579030328,61.79651295151402
1992,6,United Kingdom,14.273851344498103,45.94414949226355
1992,7,United Kingdom,14.455714386470053,88.41820896494107
1992,8,United Kingdom,13.537142489938796,148.0970604674009
1992,9,United Kingdom,11.831626345645793,111.756110081824
1992,10,United Kingdom,6.691963948229341,71.46873677503285
1992,11,United Kingdom,6.211105737188781,131.59148897493583
1992,12,United Kingdom,3.167112417610757,86.81712012980363
1993,1,United Kingdom,4.787173791067464,140.80080718905552
1993,2,United Kingdom,4.705369083757351,28.56907859789881
1993,3,United Kingdom,5.420944862328235,55.66118528150909
1993,4,United Kingdom,7.9683212661495695,104.80674022867298
1993,5,United Kingdom,9.893139689312871,99.1487709676206
1993,6,United Kingdom,13.104033217384108,72.63316729838253
1993,7,United Kingdom,13.258735104069938,90.22991097198862
1993,8,United Kingdom,12.92387189854001,64.18542662388951
1993,9,United Kingdom,11.188767775694574,89.02757717515439
1993,10,United Kingdom,7.106110525887111,75.62895682004796
1993,11,United Kingdom,4.188631856261711,61.80292172992235
1993,12,United Kingdom,3.729246735583544,155.3154672352146
1994,1,United Kingdom,3.8651576592144097,118.2956069085768
1994,2,United Kingdom,2.432730784070935,87.90347841551797
1994,3,United Kingdom,5.743205775832807,126.76123817101072
1994,4,United Kingdom,6.389334353959812,92.49429745820848
1994,5,United Kingdom,9.126175092504356,53.5018519328336
1994,6,United Kingdom,12.534020185416194,63.08717688988174
